id,area,perimetro,circunferencia,compacidade,excentricidade
10,10000.0,396.0,1.247902077794933,0.8013449274537785,
11,10000.0,396.0,1.247902077794933,0.8013449274537785,0.7895304617350585
12,9999.0,401.65685424949237,1.2839376455882603,0.778854022573527,0.5883807128861014
12,1.0,0.0,0.0,inf,0.5883807128861014
13,10000.0,396.0,1.247902077794933,0.8013449274537785,0.3303704014353054
14,10000.0,396.0,1.247902077794933,0.8013449274537785,
15,10000.0,396.0,1.247902077794933,0.8013449274537785,
16,10000.0,396.0,1.247902077794933,0.8013449274537785,0.7090316227120432
17,10000.0,396.0,1.247902077794933,0.8013449274537785,
18,10000.0,396.0,1.247902077794933,0.8013449274537785,0.7009221943520625
19,10000.0,396.0,1.247902077794933,0.8013449274537785,
2,10000.0,396.0,1.247902077794933,0.8013449274537785,
20,10000.0,396.0,1.247902077794933,0.8013449274537785,0.6848180655225791
21,10000.0,396.0,1.247902077794933,0.8013449274537785,0.32728444975053617
22,10000.0,396.0,1.247902077794933,0.8013449274537785,0.6235832884398729
23,10000.0,396.0,1.247902077794933,0.8013449274537785,0.6128420474280243
24,10000.0,396.0,1.247902077794933,0.8013449274537785,0.5016587325560202
25,10000.0,396.0,1.247902077794933,0.8013449274537785,
26,10000.0,396.0,1.247902077794933,0.8013449274537785,
27,10000.0,396.0,1.247902077794933,0.8013449274537785,
28,10000.0,396.0,1.247902077794933,0.8013449274537785,
29,10000.0,396.0,1.247902077794933,0.8013449274537785,
3,10000.0,396.0,1.247902077794933,0.8013449274537785,0.500132180043595
30,10000.0,396.0,1.247902077794933,0.8013449274537785,0.2688871568687225
31,10000.0,396.0,1.247902077794933,0.8013449274537785,0.4592127218838816
32,10000.0,396.0,1.247902077794933,0.8013449274537785,
33,10000.0,396.0,1.247902077794933,0.8013449274537785,
34,10000.0,396.0,1.247902077794933,0.8013449274537785,
35,10000.0,396.0,1.247902077794933,0.8013449274537785,
36,10000.0,396.0,1.247902077794933,0.8013449274537785,
37,10000.0,396.0,1.247902077794933,0.8013449274537785,
38,10000.0,396.0,1.247902077794933,0.8013449274537785,
39,10000.0,396.0,1.247902077794933,0.8013449274537785,
4,10000.0,396.0,1.247902077794933,0.8013449274537785,
40,10000.0,396.0,1.247902077794933,0.8013449274537785,
41,10000.0,396.0,1.247902077794933,0.8013449274537785,0.684368898054924
42,10000.0,396.0,1.247902077794933,0.8013449274537785,0.29598835428036957
43,10000.0,396.0,1.247902077794933,0.8013449274537785,
44,10000.0,396.0,1.247902077794933,0.8013449274537785,
45,10000.0,396.0,1.247902077794933,0.8013449274537785,0.6049341863274112
46,10000.0,396.0,1.247902077794933,0.8013449274537785,
47,10000.0,396.0,1.247902077794933,0.8013449274537785,
5,10000.0,396.0,1.247902077794933,0.8013449274537785,
6,10000.0,396.0,1.247902077794933,0.8013449274537785,0.3719590785375595
7,10000.0,396.0,1.247902077794933,0.8013449274537785,0.6215003261741036
8,10000.0,396.0,1.247902077794933,0.8013449274537785,
9,10000.0,396.0,1.247902077794933,0.8013449274537785,
